                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7385      8.1899999999999995E-001      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20 
                            model_number                                 star_age                                star_mass                                star_mdot                                   log_dt                             conv_mx1_top                             conv_mx1_bot                                   log_LH                                  log_LHe                                    log_L                                 log_Teff                                 log_R_cm                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                       pp                                      cno                                 tri_alfa 
                                       1                  3.3427198710517974E-005                  8.1878155681234044E-001                  1.0000000000000002E-008                 -4.4759000169323899E+000                  9.9747701235624919E-001                  9.9747669604792688E-001                 -3.4321482293497088E+000                 -2.7202300920150385E+001                 -2.5377943304694295E+000                  4.1191813990935140E+000                  8.8585956327356428E+000                  7.5716153971641971E+000                  7.0620042668444354E+000                  2.4009419001906334E+001                  1.6964924731725810E+002                  2.9314002117851057E+001                 -3.4366616706774642E+000                 -5.4176795056421456E+000                 -2.7202300920150385E+001 
                                       2                  7.3539837163139540E-005                  8.1878155681274156E-001                  1.0000000000000002E-008                 -4.3967187708847648E+000                  9.9747701235576036E-001                  9.9747666848738892E-001                 -3.4317862773466419E+000                 -2.7201489066490865E+001                 -1.8276233529133243E+000                  4.2966556788446990E+000                  8.8587325620113262E+000                  7.5716119407556830E+000                  7.0620054399252670E+000                  2.4009420683583294E+001                  1.6965082147669708E+002                  2.9314261813139399E+001                 -3.4363283130304745E+000                 -5.4145890853510679E+000                 -2.7201489066490865E+001 
                                       3                  1.0562994792523679E-004                  8.1878155681306242E-001                  1.0000000000000002E-008                 -4.4936287838928211E+000                  9.9747701235536956E-001                  9.9747669604704714E-001                 -3.4317696579756798E+000                 -2.7200894524177937E+001                 -1.4284237086072999E+000                  4.3964086857264224E+000                  8.8588263704008909E+000                  7.5716117007760380E+000                  7.0620056265165916E+000                  2.4009420952151235E+001                  1.6965095108612516E+002                  2.9314282209649033E+001                 -3.4363189343267613E+000                 -5.4138843025112662E+000                 -2.7200894524177937E+001 
                                       4                  1.3130203653491460E-004                  8.1878155681331921E-001                  1.0000000000000002E-008                 -4.5905387969008773E+000                  9.9996188256927399E-001                  9.9996160529268019E-001                 -3.4317330552858110E+000                 -2.7200894542335423E+001                 -1.2837741120737505E+000                  4.4325455938502722E+000                  8.8588773524199667E+000                  7.5716117007710588E+000                  7.0620056265123869E+000                  2.4009420952145149E+001                  1.6965095108725399E+002                  2.9314282209890337E+001                 -3.4362847034359252E+000                 -5.4136225199975074E+000                 -2.7200894542335423E+001 
                                       5                  1.5183970742265682E-004                  8.1878155681352460E-001                  1.0000000000000002E-008                 -4.6874488099089344E+000                  9.9996073321282020E-001                  9.9996049842215595E-001                 -3.4317335915751510E+000                 -2.7200894559315788E+001                 -1.2184067099189575E+000                  4.4488715072896863E+000                  8.8589092266185343E+000                  7.5716117007710313E+000                  7.0620056265124900E+000                  2.4009420952145298E+001                  1.6965095108728454E+002                  2.9314282209894611E+001                 -3.4362862905055098E+000                 -5.4135233323701177E+000                 -2.7200894559315788E+001 
                                       6                  1.6826984413285064E-004                  8.1878155681368892E-001                  1.0000000000000002E-008                 -4.7843588229169907E+000                  9.9996160529222888E-001                  9.9996143758461165E-001                 -3.4317338295134117E+000                 -2.7200894565862232E+001                 -1.1848175471002045E+000                  4.4572612901135757E+000                  8.8589242423801320E+000                  7.5716117007710286E+000                  7.0620056265126046E+000                  2.4009420952145465E+001                  1.6965095108730804E+002                  2.9314282209897417E+001                 -3.4362870466366893E+000                 -5.4134743999163115E+000                 -2.7200894565862232E+001 
                                       7                  1.8798600818508321E-004                  8.1878155681388609E-001                  1.0000000000000002E-008                 -4.7051775768693656E+000                  9.9996063258780743E-001                  9.9996049003633281E-001                 -3.4317333097997218E+000                 -2.7200894579339590E+001                 -1.1593149759762758E+000                  4.4636312083925507E+000                  8.8589356913841470E+000                  7.5716117007712676E+000                  7.0620056265132112E+000                  2.4009420952146336E+001                  1.6965095108733138E+002                  2.9314282209894827E+001                 -3.4362868806598326E+000                 -5.4134403179827322E+000                 -2.7200894579339590E+001 
                                       8                  2.1164540504776226E-004                  8.1878155681412268E-001                  1.0000000000000002E-008                 -4.6259963308217404E+000                  9.9996063258751866E-001                  9.9996049842142487E-001                 -3.4317328437367638E+000                 -2.7200894579502787E+001                 -1.1385043271876634E+000                  4.4688289630682458E+000                  8.8589455064270641E+000                  7.5716117007714585E+000                  7.0620056265137476E+000                  2.4009420952147117E+001                  1.6965095108736139E+002                  2.9314282209894081E+001                 -3.4362866353140427E+000                 -5.4134189118090896E+000                 -2.7200894579502787E+001 
                                       9                  2.4003668128297714E-004                  8.1878155681440656E-001                  1.0000000000000002E-008                 -4.5468150847741162E+000                  1.0000000000000000E+000                  9.9999999999997258E-001                 -3.4317329330871909E+000                 -2.7200894579161123E+001                 -1.1208015931950464E+000                  4.4732506147911941E+000                  8.8589535699774746E+000                  7.5716117007716104E+000                  7.0620056265142477E+000                  2.4009420952147831E+001                  1.6965095108739939E+002                  2.9314282209895246E+001                 -3.4362868636983168E+000                 -5.4134058111183343E+000                 -2.7200894579161123E+001 
