                           1                            2                            3                            4                            5 
              version_number                 initial_mass                    initial_z                    burn_min1                    burn_min2 
                        7385      1.0000000000000000E+000      2.0000000000000000E-002      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20 
                            model_number                                 star_age                                star_mass                                star_mdot                                   log_dt                             conv_mx1_top                             conv_mx1_bot                                   log_LH                                  log_LHe                                    log_L                                 log_Teff                                 log_R_cm                             log_center_T                           log_center_Rho                             log_center_P                        center_degeneracy                             center_gamma                                       pp                                      cno                                 tri_alfa 
                                       1                  2.5000000000000000E-001                  1.0000000025000000E+000                  1.0000000000000002E-008                 -6.0205999132796229E-001                  9.9999999625554992E-001                  9.9999603367210455E-001                 -1.4327656671603691E+001                 -7.8873780289096132E+001                 -8.2218560659443884E-001                  4.6057074170019705E+000                  8.7433479588562246E+000                  7.4781034384173974E+000                  7.5284786152027960E+000                  2.4671762016648110E+001                  3.4994197931925584E+002                  5.1940246428571342E+001                 -1.4327656961967408E+001                 -2.0502498780884316E+001                 -7.8873780289096132E+001 
                                       2                  4.5000000000000001E-001                  1.0000000045000002E+000                  1.0000000000000002E-008                 -6.9897000433601875E-001                  9.9999999742634882E-001                  9.9999999731704181E-001                 -1.3493599463952696E+001                 -7.8874897287939305E+001                 -7.7668627998856521E-001                  4.6169536105307287E+000                  8.7436052351016453E+000                  7.4781051067068232E+000                  7.5284894435243199E+000                  2.4671777183447933E+001                  3.4994459495044487E+002                  5.1940478584640161E+001                 -1.3493599497213314E+001                 -2.0609453496209984E+001                 -7.8874897287939305E+001 
                                       3                  6.2102659708114993E-001                  1.0000000062102661E+000                  1.0000000000000002E-008                 -7.6693634535427058E-001                  9.9999999560083574E-001                  9.9999999525826222E-001                 -1.3041543987150920E+001                 -7.8875823962462036E+001                 -7.4160103088374352E-001                  4.6256302822125281E+000                  8.7437945162904569E+000                  7.4781052974880193E+000                  7.5284968789395359E+000                  2.4671787592800175E+001                  3.4994715945236857E+002                  5.1940752187137015E+001                 -1.3041543997575825E+001                 -2.0661256196809962E+001                 -7.8875823962462036E+001 
                                       4                  8.2625851357852975E-001                  1.0000000082625851E+000                  1.0000000000000002E-008                 -6.8775509930664569E-001                  9.9999999399482620E-001                  9.9999999303931175E-001                 -1.2659780269627737E+001                 -7.8876912082097917E+001                 -7.1413886731644116E-001                  4.6324061746187093E+000                  8.7439738132617482E+000                  7.4781060394672307E+000                  7.5285010995331199E+000                  2.4671793504906343E+001                  3.4994810514169529E+002                  5.1940831706153084E+001                 -1.2659780273594448E+001                 -2.0699134089803021E+001                 -7.8876912082097917E+001 
                                       5                  1.0725368133753854E+000                  1.0000000107253679E+000                  1.0000000000000002E-008                 -6.0857385325902091E-001                  9.9999999199362355E-001                  9.9999999098899317E-001                 -1.2311461160144521E+001                 -7.8878176570972997E+001                 -6.8875331924664429E-001                  4.6386651025447154E+000                  8.7441487314446320E+000                  7.4781060401866455E+000                  7.5285011068163135E+000                  2.4671793515105456E+001                  3.4994810722509959E+002                  5.1940831910464802E+001                 -1.2311461161956034E+001                 -2.0691204156774265E+001                 -7.8878176570972997E+001 
                                       6                  1.3680707731316124E+000                  1.0000000136807077E+000                  1.0000000000000002E-008                 -5.2939260721139614E-001                  9.9999998907079302E-001                  9.9999998835907422E-001                 -1.1957213291590595E+001                 -7.8879637765458511E+001                 -6.5993703130196046E-001                  4.6457758346605473E+000                  8.7443354111853093E+000                  7.4781060410298625E+000                  7.5285011155391750E+000                  2.4671793527320506E+001                  3.4994810973514222E+002                  5.1940832157363907E+001                 -1.1957213292642860E+001                 -2.0572871631768724E+001                 -7.8879637765458511E+001 
                                       7                  1.7227115248390850E+000                  1.0000000172271151E+000                  1.0000000000000002E-008                 -4.5021136116377131E-001                  9.9999998670612622E-001                  9.9999998496744991E-001                 -1.1650239618362161E+001                 -7.8881314963849121E+001                 -6.3357382255435235E-001                  4.6522781316566206E+000                  8.7445124215669701E+000                  7.4781060420144190E+000                  7.5285011259847563E+000                  2.4671793541947856E+001                  3.4994811276117832E+002                  5.1940832456037164E+001                 -1.1650239619235773E+001                 -2.0346704768942640E+001                 -7.8881314963849121E+001 
                                       8                  2.1482804268880518E+000                  1.0000000214828042E+000                  1.0000000000000002E-008                 -3.7103011511614647E-001                  9.9999997441042088E-001                  9.9999997096802917E-001                 -1.1358710364394968E+001                 -7.8883224720793862E+001                 -6.1060555266043692E-001                  4.6579360794910398E+000                  8.7446806608450878E+000                  7.4781060431593689E+000                  7.5285011384924880E+000                  2.4671793559462714E+001                  3.4994811641195690E+002                  5.1940832817740819E+001                 -1.1358710365487724E+001                 -1.9957970864607240E+001                 -7.8883224720793862E+001 
                                       9                  2.6589631093468120E+000                  1.0000000265896312E+000                  1.0000000000000002E-008                 -2.9184886906852164E-001                  9.9999997909382199E-001                  9.9999997690322051E-001                 -1.1080284752232279E+001                 -7.8885378579737363E+001                 -5.9087219042413497E-001                  4.6627840071222577E+000                  8.7448514867008011E+000                  7.4781060444830540E+000                  7.5285011534658794E+000                  2.4671793580430052E+001                  3.4994812082021969E+002                  5.1940833256385275E+001                 -1.1080284753881623E+001                 -1.9500757873561192E+001                 -7.8885378579737363E+001 
