                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1450                                     1237                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.3575187827513040E+004                  1.0997849010268380E-002                  3.2792544331369543E+005                  3.1833519812072704E+004                  5.5354245847735815E-002                  3.4997332528574088E+002                  1.0254819866357770E-045                  8.8228442185778113E-026                  6.7283371502841811E-026                  3.5698820571270962E-001                  3.3789185298353765E-021                  6.1885139934381372E-001                  1.8870144753101583E-002                  1.0000046139129137E+000                 -6.6141764150373914E-007                  2.5598896315399175E-006                  5.9969985174170882E-016                  1.7583641839043743E-006                  3.7753880837488002E-001                  3.2530983478315854E-007                  5.9711632859719377E-001                  2.0089265490573917E-002                  1.0000002960380383E+000                  9.9999980842897995E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0000046138942951E+000                  5.4907448330254217E-002                  1.3039441101845509E+002                  1.3321341056289719E+004                  3.1413573485319299E+005                  3.2278479116640498E+004                  3.2277227107448427E+004                  5.3069182054112327E-014                  2.2024055356917083E+003                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                 velocity                                      eta                                       mu                                    grada                                  eps_nuc                              non_nuc_neu                                 eps_grav                                    gradT                                    gradr                                     mass                                       h1                                      he3                                      he4                                      c12                                      c13                                      n13                                      n14                                      n15                                      o14                                      o15                                      o16                                      o17                                      o18                                      f17                                      f18                                      f19                                     ne18                                     ne19                                     ne20                                     ne22                                     mg22                                     mg24                                     mg26                                     fe56                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                    other 
                                       1                  5.8229845621856393E+000                 -5.0598208915306842E+000                  9.0942727683873166E+000                 -1.2568490617315546E+000                  3.1833519812072704E+004                  3.6785392047504765E+003                 -1.3317946444112685E+001                  6.4310651858986279E-001                  2.6595379917606987E-001                  9.8470916370582316E-017                  0.0000000000000000E+000                  1.5677048141545835E+012                  7.9590229094314457E-001                  7.9600605847040073E-001                  1.0000046139129137E+000                  6.5734219508034841E-001                  5.2691663600441325E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  9.8470916370582328E-017                  4.3880576443869484E-059                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  5.8405845487906101E+000                 -5.0870563159383355E+000                  9.1182841959383651E+000                 -1.2569480856587132E+000                  3.1832937484373841E+004                  3.6752815407979124E+003                 -1.3439797865700754E+001                  6.4300793612510643E-001                  2.6274948197988768E-001                  1.5136292345757143E-016                  0.0000000000000000E+000                  1.6293709374779954E+012                  7.3291674739951418E-001                  7.3301722124187041E-001                  1.0000046139121965E+000                  6.5734219508034841E-001                  5.2691663600441325E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  1.5136292345757143E-016                  4.1805449763690006E-058                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  5.8553617385767263E+000                 -5.1089901857924831E+000                  9.1417267981279426E+000                 -1.2570601286970498E+000                  3.1832294772653917E+004                  3.6715893856813400E+003                 -1.3541432988099100E+001                  6.4294578549243830E-001                  2.6047066058817187E-001                  2.1646309064432885E-016                  0.0000000000000000E+000                  1.5655411044202119E+012                  6.3047644701188199E-001                  6.3057057990452592E-001                  1.0000046139114345E+000                  6.5734219508034841E-001                  5.2691663600441332E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  2.1646309064432885E-016                  2.7138673870225919E-057                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  5.8665751985069079E+000                 -5.1247503142968194E+000                  9.1616283724704601E+000                 -1.2571780694026320E+000                  3.1831677236126514E+004                  3.6676984481999275E+003                 -1.3617000133729277E+001                  6.4290325338128651E-001                  2.5898220098381386E-001                  2.8363356689907454E-016                  0.0000000000000000E+000                  1.5210130223511211E+012                  5.6418675542068053E-001                  5.6428685961465597E-001                  1.0000046139106729E+000                  6.5734219508034841E-001                  5.2691663600441332E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  2.8363356689907454E-016                  1.1080927361947191E-056                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  5.8734197574161078E+000                 -5.1339662453729806E+000                  9.1746538734179754E+000                 -1.2572738873095299E+000                  3.1831207523773544E+004                  3.6645352165160443E+003                 -1.3662118102898560E+001                  6.4288024041749325E-001                  2.5817153532392118E-001                  3.3435940046235782E-016                  0.0000000000000000E+000                  1.4963982126367583E+012                  5.2658270690754594E-001                  5.2669291940909768E-001                  1.0000046139100762E+000                  6.5734219508034841E-001                  5.2691663600441332E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  3.3435940046235782E-016                  2.6016695856549791E-056                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  5.8806332874605109E+000                 -5.1440462821316784E+000                  9.1887656567111158E+000                 -1.2573274165672605E+000                  3.1830954914138489E+004                  3.6627674745552658E+003                 -1.3710710379335492E+001                  6.4284712021298918E-001                  2.5737641590301569E-001                  3.9689130471937539E-016                  0.0000000000000000E+000                  1.4890364215679587E+012                  5.0971540765566259E-001                  5.0983393433115043E-001                  1.0000046139097503E+000                  6.5734219508034841E-001                  5.2691663600441332E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  3.9689130471937539E-016                  6.3586646785603451E-056                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  5.8900818758816786E+000                 -5.1564360701408232E+000                  9.2084674679359448E+000                 -1.2574458757624691E+000                  3.1830411728043124E+004                  3.6588542109816613E+003                 -1.3771853243114862E+001                  6.4280292683932294E-001                  2.5644938691677932E-001                  4.9690049835392197E-016                  0.0000000000000000E+000                  1.4698114640510120E+012                  4.7933475464931680E-001                  4.7947654894022684E-001                  1.0000046139090457E+000                  6.5734219508034841E-001                  5.2691663600441338E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  4.9690049835392197E-016                  2.0379463205583781E-055                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  5.8990132908516015E+000                 -5.1675076144138208E+000                  9.2282140783388371E+000                 -1.2575826328666992E+000                  3.1829810672268311E+004                  3.6543351353844578E+003                 -1.3827901076913077E+001                  6.4275568670830541E-001                  2.5567955907335627E-001                  6.1431972405866386E-016                  0.0000000000000000E+000                  1.4484222324212205E+012                  4.5241399149517048E-001                  4.5258794311600103E-001                  1.0000046139082559E+000                  6.5734219508034841E-001                  5.2691663600441345E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  6.1431972405866386E-016                  6.0883073108772404E-055                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  5.9089198235592120E+000                 -5.1795779082657791E+000                  9.2511299284808128E+000                 -1.2577205314113575E+000                  3.1829229005816793E+004                  3.6497776271750349E+003                 -1.3889507129786425E+001                  6.4269610225205742E-001                  2.5492814542737952E-001                  7.7609930311828005E-016                  0.0000000000000000E+000                  1.4311246115936245E+012                  4.3117534662355156E-001                  4.3138954310438360E-001                  1.0000046139074803E+000                  6.5734219508034841E-001                  5.2691663600441345E-011                  3.0915175012365337E-001                  5.6691243032101551E-004                  1.6577655398431667E-004                  0.0000000000000000E+000                  1.7373742814038012E-002                  5.2797647445594647E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  6.2077003351184807E-003                  1.9499543205823280E-005                  7.2371457210728875E-009                  0.0000000000000000E+000                  0.0000000000000000E+000                  8.8817728199572792E-009                  1.0000000000000000E-099                  1.0000000000000000E-099                  2.7192832547360767E-003                  1.7044012218207625E-004                  8.2006285766975622E-005                  1.3883221206017777E-003                  1.5894138097353582E-004                  4.6528858069855104E-003                  7.7609930311827995E-016                  2.0322521163682652E-054                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
