                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    1640                                     1200                  1.3759999999999999E+000                  2.0000000000000000E-002                  1.0585170345739150E+004                  2.7448879339672155E-001                  1.7194009471283379E+005                  4.2329692057078319E+000                  2.3218120868755839E-003                  1.2883937611874758E+003                  6.2228183417743745E-060                  5.0877602325422864E-033                  1.4568397964003565E-048                  2.8134505350118186E-005                  3.5208695577518461E-027                  6.1019027105547474E-001                  3.2426202632081996E-001                  1.3761743017304382E+000                  1.0000000000000000E-010                  1.5262813737643442E-008                  6.1585052419802381E-015                  5.9821077656546815E-007                  3.0814492914313889E-004                  3.3341944033140389E-009                  8.3963289756146764E-001                  4.4604004643825296E-001                  1.3761742573332534E+000                  1.3761649887169907E+000                  1.3753266890528320E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3761743017304255E+000                  2.3216503757990787E-003                  9.5485505418700212E-001                  4.5232880963264685E+009                  3.2510850772898927E+009                  9.6206401076441664E-005                  9.6206400940535635E-005                  1.1085182553311818E-022                  3.6105091721075691E-002                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61                                       62 
                                    zone                                     logT                                   logRho                                     logP                                     logR                               luminosity                                 velocity                                      eta                                       mu                                    grada                                  eps_nuc                              non_nuc_neu                                 eps_grav                                    gradT                                    gradr                                     mass                                       h1                                      he3                                      he4                                      c12                                      c13                                      n13                                      n14                                      n15                                      o14                                      o15                                      o16                                      o17                                      o18                                      f17                                      f18                                      f19                                     ne18                                     ne19                                     ne20                                     ne22                                     mg22                                     mg24                                     mg26                                     fe56                                       pp                                      cno                                 tri_alfa                                   burn_c                                   burn_n                                   burn_o                                  burn_ne                                  burn_na                                  burn_mg                                  burn_si                                   burn_s                                  burn_ar                                  burn_ca                                  burn_ti                                  burn_cr                                  burn_fe                                  c12_c12                                  c12_o16                                  o16_o16                                    pnhe4                                    photo                                    other 
                                       1                  5.7742511449889911E+000                 -2.1686780197857609E+000                  1.1727391446966932E+001                 -2.6341729322871137E+000                  4.2329692057078319E+000                 -5.3620102006857244E-005                 -6.4954549748717580E+000                  6.2231457652064048E-001                  3.9602636237816718E-001                  2.2226758152775293E-014                  0.0000000000000000E+000                 -1.3483697199422176E+009                  4.2942377290487643E-001                  1.0404245845172550E+001                  1.3761743017304382E+000                  6.9734993230714304E-001                  2.8094764814545401E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  1.1720289266198815E-045                  1.1010897857693851E-003                  4.0685666142059075E-006                  0.0000000000000000E+000                  3.9241957780483045E-053                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.5560066451634375E-060                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  2.2226758152775293E-014                  1.5270136332288280E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  5.9566925115122054E+000                 -1.8773200608631959E+000                  1.2202539942937609E+001                 -2.6342329719363105E+000                  4.2329866496154009E+000                 -3.6184478483671123E+000                 -6.4487165221160394E+000                  6.2209347500261825E-001                  3.9570259123910861E-001                  6.2163428507164735E-012                  0.0000000000000000E+000                 -3.8080509264829075E+008                  4.1543314940437426E-001                  5.9118220126904975E+000                  1.3761743017304133E+000                  6.9734993230714304E-001                  2.8094764814545401E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  1.1720617143670745E-045                  1.1010897857693851E-003                  4.0685666142059075E-006                  0.0000000000000000E+000                  3.9247337530227088E-053                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.5560066264247989E-060                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  6.2163428507164743E-012                  1.5270563517727722E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  6.0448619132711663E+000                 -1.7446509043089684E+000                  1.2424042603331813E+001                 -2.6342636774457469E+000                  4.2329915761469206E+000                 -2.8950838849901404E+000                 -6.4455288012734337E+000                  6.2190657979871755E-001                  3.9505105009887231E-001                  7.2257936633259002E-011                  0.0000000000000000E+000                 -1.5432656139529577E+008                  4.0525283717559918E-001                  1.8663216942142207E+000                  1.3761743017303885E+000                  6.9734993230714304E-001                  2.8094764814545401E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  1.1720883091862228E-045                  1.1010897857693851E-003                  4.0685666142059075E-006                  0.0000000000000000E+000                  3.9251701394459703E-053                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.5560066112257171E-060                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  7.2257936633259002E-011                  1.5271498795392362E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5360661900784641E-056                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  6.1029540118929271E+000                 -1.6571855950945824E+000                  1.2570046265830145E+001                 -2.6342863044547546E+000                  4.2329935726760892E+000                 -2.4381258976145137E+000                 -6.4454954298972007E+000                  6.2175906024857419E-001                  3.9484935874297428E-001                  3.3518643953901190E-010                  0.0000000000000000E+000                 -7.6417192988772035E+007                  4.0101952350751024E-001                  1.0348163422845598E+000                  1.3761743017303631E+000                  6.9734993230714304E-001                  2.8094764814545401E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  1.1721133511713744E-045                  1.1010897857693851E-003                  4.0685666142059075E-006                  0.0000000000000000E+000                  3.9255810701894016E-053                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.5560065969142554E-060                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  3.3518643953901190E-010                  1.5479157462356732E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.1804854887733433E-053                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  6.1377248593500839E+000                 -1.6033464031190978E+000                  1.2658924951897877E+001                 -2.6343048066617154E+000                  4.2329945612879261E+000                 -2.3145959710704167E+000                 -6.4395052433382194E+000                  6.2168227670616449E-001                  3.9474423219893079E-001                  8.1800690816527777E-010                  0.0000000000000000E+000                 -4.3824391948736772E+007                  3.9857508857834678E-001                  6.9222836089400985E-001                  1.3761743017303383E+000                  6.9734993230714304E-001                  2.8094764814545401E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  1.1721342468727815E-045                  1.1010897857693851E-003                  4.0685666142059075E-006                  0.0000000000000000E+000                  3.9259251525283145E-053                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.5560065849660960E-060                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  8.1800690816527777E-010                  2.1471139484238521E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.6706131231202891E-051                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  6.1599258264013041E+000                 -1.5697911424183177E+000                  1.2714847571178572E+001                 -2.6343144592064345E+000                  4.2329948960773383E+000                 -2.1386624850915337E+000                 -6.4377182719191213E+000                  6.2166074103643953E-001                  3.9463713827524849E-001                  1.4269646894887106E-009                  0.0000000000000000E+000                 -2.7765748354514904E+007                  3.9744658242517927E-001                  5.7426386063713464E-001                  1.3761743017303234E+000                  6.9734993230714304E-001                  2.8094764814545401E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  1.1721513012012338E-045                  1.1010897857693851E-003                  4.0685666142059075E-006                  0.0000000000000000E+000                  3.9262174418330112E-053                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.5560065751258847E-060                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  1.4269646894887106E-009                  6.6920483347067972E-031                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.0631011715483283E-049                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  6.1792864118956139E+000                 -1.5403941446513842E+000                  1.2763754994995185E+001                 -2.6343233946155853E+000                  4.2329951081986303E+000                 -1.9984047485785621E+000                 -6.4370625693321033E+000                  6.2164720224609804E-001                  3.9454798133451030E-001                  2.3026387424446223E-009                  0.0000000000000000E+000                 -1.4348196560073197E+007                  3.9640512112758330E-001                  4.8801947026807724E-001                  1.3761743017303087E+000                  6.9734993230714304E-001                  2.8094764814545401E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  1.1721710669951357E-045                  1.1010897857693851E-003                  4.0685666142059075E-006                  0.0000000000000000E+000                  3.9266197293179272E-053                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  0.0000000000000000E+000                  0.0000000000000000E+000                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.5560065631465788E-060                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  2.3026387424446223E-009                  3.3421789518542306E-030                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3159194337499007E-048                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  6.1975915263789201E+000                 -1.5126170214701238E+000                  1.2809990049016742E+001                 -2.6343315195418979E+000                  4.2329952150341867E+000                 -1.8542066270355053E+000                 -6.4358973203370136E+000                  6.2161767834716763E-001                  3.9447275748257643E-001                  3.5983824159487512E-009                  0.0000000000000000E+000                  1.2699651345692842E+008                  3.9537425142996080E-001                  4.2410779511430807E-001                  1.3761743017302945E+000                  6.9734993230714304E-001                  2.8094764814545411E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  8.8448133746628839E-044                  1.1010897857693851E-003                  4.0685666142059075E-006                  1.4461358473617461E-090                  2.3738814119904401E-050                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  8.0213068090166531E-055                  2.1338303936482828E-056                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.3781379550570274E-058                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  3.5983824159487512E-009                  2.8933704047311848E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.3723333710713764E-047                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  6.2169098277693546E+000                 -1.4802884207039331E+000                  1.2861769977039252E+001                 -2.6343401996835980E+000                  4.2329941379364984E+000                 -1.6852427293522929E+000                 -6.4268777173734586E+000                  6.2158538579216427E-001                  3.9439706161947569E-001                  5.7687696028213323E-009                  0.0000000000000000E+000                  4.7087812569534814E+008                  3.7145058125353358E-001                  3.7145058125353358E-001                  1.3761743017302779E+000                  6.9734993230714304E-001                  2.8094764814545421E-005                  2.8305200625744825E-001                  3.2162137948484265E-003                  4.1023385918515342E-005                  5.2243890300688331E-043                  1.1010897857693851E-003                  4.0685666142059075E-006                  5.7712544752788549E-089                  1.9173871167157363E-049                  8.4628927569788005E-003                  3.4286176805164092E-006                  1.9074878525540022E-005                  1.3259256135461138E-053                  3.6967995316104825E-055                  5.9271009794764897E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4989710373403561E-003                  1.2690092383216441E-004                  3.9259191406090992E-057                  8.5141915540655239E-004                  1.2812481525537121E-004                  4.1161662423265166E-003                  5.7687696028213323E-009                  1.7064039111515242E-028                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5848418877643499E-046                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000 
